# Fichier g�n�r� par Top-Booster ( http://www.top-booster.com )
# Votes du 03/10/2022 au 09/10/2022
#
#
#
# Classement en fonction de IDmark
# Pseudo;Classement;IDmark;ID+mark;Total
Shiro Mayuri;1;268;0;268
Naoki Shiori;2;264;0;264
Igarashi Sora;3;201;0;201
Kiryu Shinjiro;4;176;0;176
Hiro;5;176;0;176
Tomoe Nozomi;6;174;0;174
Aviela Garaitz;7;174;0;174
Delila;8;167;0;167
Akashiya Recca;9;160;0;160
Barbe;10;127;0;127
Kyoakusei Kenshiro;11;123;0;123
Orias;12;123;0;123
Borick;13;116;0;116
Artemio Vittoria;14;116;0;116
Kuso;15;114;0;114
Connor Austins;16;96;0;96
Ganryu;17;96;0;96
Yane Yoru;18;92;0;92
Hinotori Mamoru;19;89;0;89
Cimeries Alastor;20;82;0;82
Yuta;21;67;0;67
Nagatsuki Aizome;22;60;0;60
Kano;23;16;0;16
kuso;24;11;0;11
Keshinohana Kuso;25;10;0;10
Amado;26;8;0;8
Naoko;27;8;0;8
Shirahime;28;8;0;8
Hanae;29;8;0;8
Adamas Vildolorez;30;7;0;7
Centiryon;31;4;0;4
Junichiro;32;1;0;1
